Reference_Number,Title,Confidence_Score,Has_DOI,Has_URL,Has_ISBN,Author_Count
1,,0.0,False,False,False,0
2,,0.0,False,False,False,0
3,,0.0,False,False,False,0
4,,0.0,False,False,False,0
5,Digital technology and organizational change: Introduction to the special issue,1.0,False,True,False,1
6,"The digital mindset: What it really takes to thrive in the age of data, algorithms, and AI",1.0,False,True,False,1
7,"COVID-19 and the new technologies of organizing: Digital exhaust, digital footprints, and artificial intelligence in the wake of remote work",1.0,False,True,False,1
8,Institutional theory and organizational analysis,1.0,False,True,False,1
9,Discourse and institutions,1.0,False,True,False,1
10,Technology and institution creation: The case of digital platforms,1.0,False,True,False,1
11,The skill code: How to save human ability in an age of intelligent machines,1.0,False,True,False,1
12,Shadow learning: Building robotic surgical skill when approved means fail,1.0,False,True,False,1
13,Learning to work with intelligent machines,1.0,False,True,False,1
14,,0.0,False,False,False,0
15,,0.0,False,False,False,0
16,,0.0,False,False,False,0
17,,0.0,False,False,False,0
18,,0.0,False,False,False,0
19,,0.0,False,False,False,0
20,,0.0,False,False,False,0
21,"Artificial intelligence: A modern approach, 4th edition",1.0,False,True,False,1
22,"The second machine age: Work, progress, and prosperity in a time of brilliant technologies",1.0,False,True,False,1
23,Artificial intelligence for the real world,1.0,False,True,False,1
24,Business intelligence and analytics: From big data to big impact,1.0,False,True,False,1
25,Data science for business: What you need to know about data mining and data-analytic thinking,1.0,False,True,False,1
26,,0.0,False,False,False,0
27,,0.0,False,False,False,0
28,,0.0,False,False,False,0
29,,0.0,False,False,False,0
30,,0.0,False,False,False,0
31,,0.0,False,False,False,0
32,,0.0,False,False,False,0
33,,0.0,False,False,False,0
34,,0.0,False,False,False,0
35,,0.0,False,False,False,0
36,,0.0,False,False,False,0
37,,0.0,False,False,False,0
38,,0.0,False,False,False,0
39,,0.0,False,False,False,0
40,,0.0,False,False,False,0
41,,0.0,False,False,False,0
42,,0.0,False,False,False,0
43,,0.0,False,False,False,0
44,,0.0,False,False,False,0
